Video Analysis Log - prema
Video Duration: 269.07 seconds
Change Threshold: 4.0%
Start Time: 2s
==================================================


>>> INITIAL SCREENSHOT A CAPTURED at 2.2s
Time 119.2s: 0.3% different
Time 119.4s: 0.3% different
Time 119.6s: 0.0% different
Time 119.8s: 0.3% different
Time 120.0s: 0.3% different
Time 120.2s: 0.0% different
Time 120.4s: 0.3% different
Time 120.6s: 0.3% different
Time 120.8s: 0.0% different
Time 121.0s: 0.3% different
Time 121.2s: 0.3% different
Time 121.4s: 0.0% different
Time 121.6s: 0.3% different
Time 121.8s: 0.3% different
Time 122.0s: 0.0% different
Time 122.2s: 0.3% different
Time 122.4s: 0.3% different
Time 122.6s: 0.0% different
Time 122.8s: 0.3% different
Time 123.0s: 0.3% different
Time 123.2s: 0.0% different
Time 123.4s: 0.3% different
Time 123.6s: 0.3% different
Time 123.8s: 0.0% different
Time 124.0s: 0.3% different
Time 124.2s: 0.3% different
Time 124.4s: 0.0% different
Time 124.6s: 0.3% different
Time 124.8s: 0.3% different
Time 125.0s: 0.0% different
Time 125.2s: 0.3% different
Time 125.4s: 0.3% different
Time 125.6s: 0.0% different
Time 125.8s: 0.3% different
Time 126.0s: 0.3% different
Time 126.2s: 0.0% different
Time 126.4s: 0.3% different
Time 126.6s: 0.3% different
Time 126.8s: 0.3% different
Time 127.0s: 0.0% different
Time 127.2s: 0.3% different
Time 127.4s: 0.0% different
Time 127.6s: 0.3% different
Time 127.8s: 0.3% different
Time 128.0s: 0.0% different
Time 128.2s: 0.3% different
Time 128.4s: 0.3% different
Time 128.6s: 0.3% different
Time 128.8s: 0.0% different
Time 129.0s: 0.3% different
Time 129.2s: 0.3% different
Time 129.4s: 0.0% different
Time 129.6s: 0.3% different
Time 129.8s: 0.3% different
Time 130.0s: 0.0% different
Time 130.2s: 0.3% different
Time 130.4s: 0.3% different
Time 130.6s: 0.0% different
Time 130.8s: 0.3% different
Time 131.0s: 0.3% different
Time 131.2s: 0.0% different
Time 131.4s: 0.3% different
Time 131.6s: 0.3% different
Time 131.8s: 0.0% different
Time 132.0s: 0.3% different
Time 132.2s: 0.3% different
Time 132.4s: 0.0% different
Time 132.6s: 0.3% different
Time 132.8s: 11.6% different

>>> SCREENSHOT A CAPTURED at 132.8s (11.6% >= 4.0%)
Time 133.0s: 0.0% different
Time 133.2s: 0.3% different
Time 133.4s: 0.3% different
Time 133.6s: 0.0% different
Time 133.8s: 0.3% different
Time 134.0s: 0.3% different
